verb		list	atpdwnv	ttpupv	tbdwnv	abupv	allacrh	tlracrh	trlacrh	arracrh		upwrd	dwnwrd	vert	left	right	horiz	toward	away
march		3	0.53	0.53	0.23	0.53	3.20	0.40	1.13	1.43		1.07	0.77	1.83	4.33	1.83	6.17	2.30	5.70
mesmerize	1	0.57	1.63	0.50	0.73	0.67	0.73	0.90	0.87		2.37	1.07	3.43	1.57	1.60	3.17	3.77	2.83
mine		1	3.83	0.13	0.10	0.63	0.53	0.03	0.13	0.43		0.77	3.93	4.70	0.67	0.47	1.13	0.40	5.43
mock		3	2.63	0.10	0.17	0.63	1.97	0.00	0.00	1.70		0.73	2.80	3.53	1.97	1.70	3.67	0.27	6.93
move		*	1.28	0.35	0.27	1.36	2.89	0.49	0.79	1.80		1.72	1.56	3.27	3.68	2.29	5.98	1.91	7.34
need		1	1.07	0.10	0.30	1.70	2.13	0.27	0.43	1.40		1.80	1.37	3.17	2.57	1.67	4.23	1.10	6.30
obey		1	0.10	0.83	2.57	1.10	0.47	0.70	1.00	0.37		1.93	2.67	4.60	1.47	1.07	2.53	5.10	2.03
offend		3	1.83	0.07	0.10	0.97	1.90	0.30	0.40	1.73		1.03	1.93	2.97	2.30	2.03	4.33	0.87	6.43
offer		2	1.16	0.09	0.00	1.38	3.06	0.00	0.13	1.72		1.47	1.16	2.63	3.19	1.72	4.91	0.22	7.31
owe		3	0.50	0.27	0.47	1.67	1.80	0.30	0.43	1.90		1.93	0.97	2.90	2.23	2.20	4.43	1.47	5.87
own		3	2.20	0.83	0.40	0.50	1.37	0.93	1.00	0.83		1.33	2.60	3.93	2.37	1.77	4.13	3.17	4.90
perch		2	1.13	2.47	0.25	0.28	0.38	0.38	0.75	0.09		2.75	1.38	4.13	1.13	0.47	1.59	3.84	1.88
persist		3	0.27	0.97	0.30	0.67	1.83	0.63	1.30	0.93		1.63	0.57	2.20	3.13	1.57	4.70	3.20	3.70
pile		1	3.07	0.37	0.00	0.60	0.67	0.07	0.13	0.37		0.97	3.07	4.03	0.80	0.43	1.23	0.57	4.70
pity		2	3.09	0.00	0.13	0.59	0.97	0.13	0.09	1.25		0.59	3.22	3.81	1.06	1.38	2.44	0.34	5.91
plummet		2	3.56	0.16	2.72	0.16	0.00	0.09	0.00	0.00		0.31	6.28	6.59	0.00	0.09	0.09	2.97	3.72
plunge		2	3.22	0.13	2.91	0.06	0.00	0.06	0.22	0.00		0.19	6.13	6.31	0.22	0.06	0.28	3.31	3.28
point		2	1.88	0.00	0.00	1.50	2.91	0.00	0.13	2.31		1.50	1.88	3.38	3.03	2.31	5.34	0.13	8.59
pour		3	3.63	0.00	0.13	0.10	0.93	0.00	0.00	0.40		0.10	3.77	3.87	0.93	0.40	1.33	0.13	5.07
praise		3	0.37	0.13	0.00	2.80	2.03	0.00	0.00	0.97		2.93	0.37	3.30	2.03	0.97	3.00	0.13	6.17
